nohup: ignoring input
Epoch 0100: train_loss=1087.06714
Epoch 0200: train_loss=579.17395
Epoch 0300: train_loss=560.42975
Epoch 0400: train_loss=552.42328
Epoch 0500: train_loss=547.43933
Epoch 0600: train_loss=544.53943
Epoch 0700: train_loss=542.47290
Epoch 0800: train_loss=540.64575
Epoch 0900: train_loss=539.13239
Epoch 1000: train_loss=538.00507
